"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Seguimentos,Alcance
18062661461715851,17841400074692954,paulistao,Paulistão,"EMPATE SEM GOLS!
A rede não balançou para São Bernardo e Sport.
#PaulistasEmCampo
📷André Pera/Sport",0,"06/14/2026 08:56",https://www.instagram.com/p/DZknb1Rn8sH/,"Imagem do Instagram",,Total,20410,171,6,2,4,0,12549
18116701987883267,17841400074692954,paulistao,Paulistão,"A Ponte Preta volta do Rio Grande do Sul sem conseguir pontuar.
#PaulistasEmCampo
📷Fernando Alves/Juventude",0,"06/14/2026 09:00",https://www.instagram.com/p/DZkn3syn6Ze/,"Imagem do Instagram",,Total,29413,609,32,58,4,0,16774
18199755118362773,17841400074692954,paulistao,Paulistão,"ERA O MEU SONHO!
A adm só queria poder ter esses emojis 👀🤩
#PaulistãoCasasBahia #FutebolPaulista",0,"06/14/2026 11:00",https://www.instagram.com/p/DZkwZiej5GZ/,"Imagem do Instagram",,Total,154601,5864,40,67,82,1,72828
17860100175647998,17841400074692954,paulistao,Paulistão,"Se liga nos resultados da penúltima rodada do Paulista Sub-23 Segunda Divisão!
#FutebolPaulista",0,"06/14/2026 13:57",https://www.instagram.com/p/DZlJ38eHxps/,"Imagem do Instagram",,Total,50230,902,69,26,12,10,26889
18077852201428272,17841400074692954,paulistao,Paulistão,"VAI, LEÃO!
A Inter de Limeira vence mais uma na Série C!
#PaulistasEmCampo
📷Jorge Luís Totti/Paysandu",0,"06/14/2026 14:06",https://www.instagram.com/p/DZlK5dynygD/,"Imagem do Instagram",,Total,23987,420,7,23,4,1,13961
18046362887567313,17841400074692954,paulistao,Paulistão,"EMPATE!
O Ituano ficou em igualdade com o Itabaiana.
#PaulistasEmCampo
📷Mateus Mendonça/Itabaiana",0,"06/14/2026 14:38",https://www.instagram.com/p/DZlOfqvnwXW/,"Imagem do Instagram",,Total,16054,105,2,0,1,0,9205
18113486402499443,17841400074692954,paulistao,Paulistão,"PONTO EM CASA!
Novorizontino fica atrás do placar duas vezes, mas consegue buscar o empate contra o Náutico.
#PaulistasEmCampo
📷Juan Rodrigues/Novorizontino",0,"06/14/2026 17:10",https://www.instagram.com/p/DZlf59jn0PT/,"Imagem do Instagram",,Total,18844,170,4,1,1,0,10366
18101621990036946,17841400074692954,paulistao,Paulistão,"PRA CIMA, PANTERA!
O Botafogo faz o dever de casa e fica com a vitória contra o Operário.
#PaulistasEmCampo
📷João Victor Menezes de Souza/Agência Botafogo",0,"06/14/2026 17:12",https://www.instagram.com/p/DZlgHBLnwi5/,"Imagem do Instagram",,Total,26123,329,10,13,5,0,15331
18268626196295294,17841400074692954,paulistao,Paulistão,"Seis jogos movimentaram o domingo do #FutebolPaulista. Se liga nos resultados de hoje.
#PaulistasEmCampo",0,"06/14/2026 17:18",https://www.instagram.com/p/DZlg4j8n81h/,"Imagem do Instagram",,Total,32131,410,6,6,7,0,19609
18079872833242302,17841400074692954,paulistao,Paulistão,"DUELO NA FONTE LUMINOSA!
A Ferroviária quer começar a semana daquele jeito somando três pontos na @cbfseriec!
#PaulistasEmCampo",0,"06/15/2026 06:00",https://www.instagram.com/p/DZmy36NlgyE/,"Imagem do Instagram",,Total,15749,126,8,2,2,0,9097
18345223741171892,17841400074692954,paulistao,Paulistão,"VAMO A LA PLAYA...
A dupla alviverde Piquerez e Emi Martínez vai a campo nesta segunda-feira diretamente de Miami pela seleção uruguaia!
#CopaDoMundo",0,"06/15/2026 07:31",https://www.instagram.com/p/DZnCeLjx6Uw/,"Imagem do Instagram",,Total,31650,464,13,2,8,0,18348
17947157067192753,17841400074692954,paulistao,Paulistão,"PRA CIMA, LOCOMOTIVA!
Ferroviária vence o Barra e entre no G8 da Série C!
#PaulistasEmCampo
📷Guilherme Moro/Ferroviária",0,"06/15/2026 18:31",https://www.instagram.com/p/DZoOBFsDw2d/,"Imagem do Instagram",,Total,20719,226,2,4,1,0,11923
17961128199129339,17841400074692954,paulistao,Paulistão,"🏆🏟️ O FUTEBOL PAULISTA FEZ HISTÓRIA NO MARACANÃ!
Hoje é dia de comemorar os 76 anos do @maracana. Parabéns! 🎉🎂🥳
#FutebolPaulista #Maracanã",0,"06/16/2026 06:00",https://www.instagram.com/p/DZpXqVIllfw/,"Imagem do Instagram",,Total,293691,16140,871,507,301,34,154121
18077454038432086,17841408376344663,libertadoresbr,"CONMEBOL Libertadores","🇦🇷💚 É o dia, Flaquito! O atacante do @Palmeiras e da @afaseleccion na @FIFAWorldCup. 

🏆 CONMEBOL #Libertadores 🔛 @flacolopez_10",0,"06/16/2026 06:02",https://www.instagram.com/p/DZpdF9tjvq0/,"Carrossel do Instagram",,Total,182190,7729,81,103,0,,
17931613917096343,17841400074692954,paulistao,Paulistão,"¿TODOS LISTOS? 🇦🇷
Hoje tem estreia do nosso 𝒉𝒆𝒓𝒎𝒂𝒏𝒐 favorito na Copa do Mundo pela seleção da Argentina! 
#PaulistasEmCampo #CopaDoMundo #FlacoLopez",0,"06/16/2026 08:00",https://www.instagram.com/p/DZplZzhIAkQ/,"Imagem do Instagram",,Total,61036,2012,25,11,18,4,34343
18091957835344538,17841400074692954,paulistao,Paulistão,"A PRIMEIRA LIBERTADORES DO VERDÃO! 🏆🐷
No dia 16 de junho de 1999, o Palmeiras vencia o Deportivo Cali e conquistava sua primeira taça da @libertadoresbr!
#BaúDoPaulistão",0,"06/16/2026 10:51",https://www.instagram.com/p/DZp-DLyDQSV/,"Imagem do Instagram",,Total,42437,1687,41,11,31,3,25956
17858147541647628,17841400074692954,paulistao,Paulistão,"MACACA E PANTERA SE ENFRENTAM!
Quem vai levar a melhor no @brasileiraob: Ponte Preta ou Botafogo?
#PaulistasEmCampo",0,"06/01/2026 06:00",https://www.instagram.com/p/DZCvvjSlD2w/,"Imagem do Instagram",,Total,25811,231,11,11,3,0,15317
18006046289920671,17841400074692954,paulistao,Paulistão,"🇧🇷 🇳🇱 Neymar 🤝🏼 Memphis 
Os camisas 10 alvinegros presentes na Copa do Mundo!
#PaulistasEmCampo #CopaDoMundo #Convocação",0,"06/01/2026 07:00",https://www.instagram.com/p/DZC2mZqFn0z/,"Imagem do Instagram",,Total,168490,14203,579,92,211,38,86700
