Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"COMEMORA, CADU! O nome do gol que garantiu o título do Paulistão A4 Rivalo para o Penapolense! #PaulistãoA4Rivalo",https://www.tiktok.com/@paulistao/video/7638023098532482320,2026/05/09 22:31:54,11880,951,12,65,32
LORAM! Cabeçada de manual para abrir o placar para a Inter de Bebedouro! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7638001609263369480,2026/05/09 21:07:07,3786,107,2,3,3
GOOOOOOOOLLLL DA INTER DE BEBEDOURO! Loram abre o placar para a equipe da casa! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7637997894796135697,2026/05/09 20:53:32,6632,126,5,3,2
NA RAÇA PELO LOBO! 🐺 🔥 Cauã Ferreira entregando tudo pela Inter de Bebedouro na ida da final do #PaulistãoA4Rivalo.,https://www.tiktok.com/@paulistao/video/7637620992264752385,2026/05/08 20:30:20,7016,264,5,1,6
PORQUE JUVENTUS É SENTIMENTO! 🔥 #Juventus #PaulistãoA2Rivalo #MolequeTravesso,https://www.tiktok.com/@paulistao/video/7637149115767360785,2026/05/07 13:59:08,1113,35,2,4,1
EQUIPES EM CAMPO! ⚽️🌟 Vai começar o primeiro duelo entre Juventus e Ferroviária! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7637136583883328784,2026/05/07 13:10:35,1556,50,1,4,1
AQUECIMENTO FINALIZADO! 🔥 Tudo pronto para a primeira parte da decisão do Paulistão A2 Rivalo! Quem vai sair na vantagem? #PaulistãoA2Rivalo #Juventus #Ferroviária,https://www.tiktok.com/@paulistao/video/7637136369478798599,2026/05/07 13:09:32,776,30,1,0,0
ACELERA! O Fanaticão está na área para curtir a final do Paulistão A2 Rivalo na Javari! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7637135976023821584,2026/05/07 13:07:59,462,17,1,0,0
A TAÇA TÁ NA RUA JAVARI! 🏆🌟 A torcida do Moleque Travesso tá de olho no troféu do #PaulistãoA2Rivalo 👀 #Juventus #Mooca,https://www.tiktok.com/@paulistao/video/7637135593146830097,2026/05/07 13:06:43,801,19,2,0,0
QUE PANCADA! A Glaucia soltou o pé na cobrança de pênalti e anotou o segundo do Palmeiras contra o Mirassol. #PaulistãoF,https://www.tiktok.com/@paulistao/video/7636906531912436993,2026/05/06 22:19:17,7318,210,3,1,9
TÁ NA REDE! Diany aproveitou a falha da zaga do Mirassol pra fazer o primeiro do Palmeiras no Paulistão F! #PaulistãoF2026,https://www.tiktok.com/@paulistao/video/7636906592574786824,2026/05/06 22:17:59,3857,128,1,0,3
