Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"FESTIVAL COM ELAS! 🌟 O Festival Feminino Sub-12 é bom, mas em boa companhia é muito mais legal! #FestivalFemininoSub12 #Lalaland ",https://www.tiktok.com/@paulistaofeminino/video/7646041846342241554,2026/05/31 13:07:29,1928,55,0,1,2
RIO BRANCO MANDANDO O PASSINHO! 💃 As coreografias começaram cedo por aqui! #FestivalFemininoSub12,https://www.tiktok.com/@paulistaofeminino/video/7646030174579903752,2026/05/31 12:22:13,1198,53,2,1,1
BORA PARA O SEGUNDO DIA! ☀️ Bom dia para quem tá preparado para o Festival Feminino Sub-12!  #FestivalFemininoSub12 ,https://www.tiktok.com/@paulistaofeminino/video/7646018707034066183,2026/05/31 11:37:43,822,55,0,0,3
"“𝘼 𝙜𝙚𝙣𝙩𝙚 𝙛𝙚𝙯 𝙪𝙢𝙖 𝙘𝙤𝙧𝙚𝙤𝙜𝙧𝙖𝙛𝙞𝙖 𝙙𝙤 𝙈𝙞𝙘𝙝𝙖𝙚𝙡 𝙅𝙖𝙘𝙠𝙨𝙤𝙣!” 🕺 Além de jogar futebol, as meninas da AJVV também montam passos de dança! #FestivalFemininoSub14 ",https://www.tiktok.com/@paulistaofeminino/video/7645809973938752775,2026/05/30 22:07:47,1609,87,1,0,4
TOTALMENTE PREMIADAS! 🏅 Fim do primeiro dia de Festival Feminino em Matão! #FestivalFemininoSub14 ,https://www.tiktok.com/@paulistaofeminino/video/7645806965658062087,2026/05/30 21:56:07,893,67,1,0,0
CONVOCAÇÃO DA SELEÇÃO BRASILEIRA (OU QUASE ISSO 🤣) O time da AJVV no Festival Feminino Sub-14 é nível Seleção Brasileira! 😮‍💨 #FestivalFemininoSub14 #SeleçãoBrasileira #Convocação #Neymar ,https://www.tiktok.com/@paulistaofeminino/video/7645794470348279058,2026/05/30 21:07:40,3281,248,5,8,5
ONDINHA 🌊 PALMA 👏 ONDINHA 🌊 PALMA 👏 Toma essa aula de coreografia da Acaff!  #FestivalFemininoSub14 ,https://www.tiktok.com/@paulistaofeminino/video/7645739896157719816,2026/05/30 17:35:54,2218,90,0,0,2
Tá acompanhando os vídeos do Festival Feminino Sub-14 e ainda não aprendeu a fazer o passinho do Jamal? Tá dormindo! 👀 #FestivalFemininoSub14  ,https://www.tiktok.com/@paulistaofeminino/video/7645726131970231559,2026/05/30 16:42:22,1957,93,0,1,1
Lemense dando aula de passinho 😮‍💨🕺 #FestivalFemininoSub14 ,https://www.tiktok.com/@paulistaofeminino/video/7645701154764066066,2026/05/30 15:05:28,1146,64,0,4,1
"Desculpa, professora, daqui não dá pra te ouvir! 😙✌️ #FestivalFemininoSub14  ",https://www.tiktok.com/@paulistaofeminino/video/7645692667938098440,2026/05/30 14:32:30,1278,83,0,1,3
"QUEM NÃO JOGA NO CAMPO… JOGA NA QUADRA! Tem futmesa, pebolim, tênis de mesa e até bobinho 🤪 #FestivalFemininoSub14  ",https://www.tiktok.com/@paulistaofeminino/video/7645675730545790215,2026/05/30 13:26:50,507,31,0,0,0
"“Ai, porque eu aqueço fazendo exercício de mobilidade antes do jogo” 😴 E daí? A gente aquece dançando! 💃 #FestivalFemininoSub14",https://www.tiktok.com/@paulistaofeminino/video/7645675685968661778,2026/05/30 13:26:35,2904,153,4,12,5
