ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2092009055955067038,"Mon, Aug 24, 2026",QUE HOMENAGEM PARA O CAPITÃO!🐷💚 #PaulistasEmCampo #Palmeiras #GustavoGómez 📷Cesar Greco/Palmeiras https://t.co/oMm9hNP1rJ,https://x.com/Paulistao/status/2092009055955067038,2487,15,58,0,0,0,0,0,1,1,0,1,0
2091996888656458191,"Mon, Aug 24, 2026",O TERCEIRO QUE MAIS VENCEU NO COMANDO DO VERDÃO! 🐷🌟 Abel Ferreira segue fazendo história no Palmeiras e se consagrou como o terceiro técnico mais vitorioso da história do clube! #PaulistasEmCampo https://t.co/aVKcRqOCvK,https://x.com/Paulistao/status/2091996888656458191,1612,24,41,0,0,0,0,2,3,1,0,0,0
2091939861053751406,"Mon, Aug 24, 2026",FIM DA PENÚLTIMA RODADA NA @cbfseriec! Vem conferir como está a tabela de classificação! #PaulistasEmCampo https://t.co/Kiic0kOHeE,https://x.com/Paulistao/status/2091939861053751406,2700,15,79,0,0,0,0,2,2,2,0,0,0
2091873170617758199,"Mon, Aug 24, 2026","EM FRENTE, TIGRE VALENTE! 🐯 O Novorizontino visita o Athletic em busca da vitória no @brasileiraob! #PaulistasEmCampo https://t.co/8LI0mdp3Z9",https://x.com/Paulistao/status/2091873170617758199,1163,2,3,0,0,0,0,0,0,0,0,0,0
2091842957330522564,"Mon, Aug 24, 2026","PARABÉNS, DENÍLSON! O bicampeão paulista e campeão do mundo em 2002 completa 49 anos nessa segunda-feira (24) #FutebolPaulista #Aniversário https://t.co/uMykgPgY8X",https://x.com/Paulistao/status/2091842957330522564,1371,3,10,0,0,0,0,1,0,1,0,0,0
2091685634721058981,"Mon, Aug 24, 2026","Corinthians marca no fim, mas não consegue pontuar diante do Coritiba. #PaulistasEmCampo 📷JP Pacheco/Coritiba https://t.co/Z27uRSO1g3",https://x.com/Paulistao/status/2091685634721058981,1369,11,28,0,0,0,0,1,0,8,0,0,0
2091671059749585000,"Sun, Aug 23, 2026",TUDO IGUAL! O duelo paulista acabou empatado na Vila Belmiro. #PaulistasEmCampo 📷Pedro Zacchi/Ag. Mirassol https://t.co/mtlipBmGuw,https://x.com/Paulistao/status/2091671059749585000,1242,3,13,1,0,0,1,0,0,1,0,0,0
2091670548166136043,"Sun, Aug 23, 2026","Jogando na Arena Condá, o São Paulo foi superado pela Chapecoense. #PaulistasEmCampo 📷João Pedro Zatta Grolli/Chapecoense https://t.co/9V3LHmlgXL",https://x.com/Paulistao/status/2091670548166136043,1204,8,18,0,0,0,1,3,0,1,0,0,0
2091669883775816153,"Sun, Aug 23, 2026",A Ferroviária tropeçou fora de casa. #PaulistasEmCampo 📷Guilherme Moro/Ferroviária https://t.co/heO7QYO84O,https://x.com/Paulistao/status/2091669883775816153,1239,2,3,0,0,0,0,0,0,0,0,1,0
2091639291646468518,"Sun, Aug 23, 2026","AVANTI, PALESTRA! Palmeiras deslancha no segundo tempo e goleia o Vasco no Nubank Parque. #PaulistasEmCampo 📷Cesar Greco/Palmeiras https://t.co/RnkJ0owsOJ",https://x.com/Paulistao/status/2091639291646468518,939,5,13,0,0,0,0,0,0,5,0,0,0
2091632922176442473,"Sun, Aug 23, 2026","VAI, MASSA BRUTA! Com gol no finzinho, Red Bull Bragantino garante os três pontos contra o Grêmio. #PaulistasEmCampo 📷Ari Ferreira/Red Bull Bragantino https://t.co/wQhyzFfebr",https://x.com/Paulistao/status/2091632922176442473,1269,6,19,0,1,0,0,0,0,2,0,0,0
2091632506919375020,"Sun, Aug 23, 2026",O placar não saiu do zero no Limeirão. #PaulistasEmCampo 📷Rogério Rueda/Inter de Limeira https://t.co/4X8Dgz2bJA,https://x.com/Paulistao/status/2091632506919375020,1027,2,3,0,0,0,0,0,0,1,0,0,0
2091632174445326510,"Sun, Aug 23, 2026",A Ponte Preta voltou a tropeçar na disputa da Série B. #PaulistasEmCampo 📷Marcos Ribolli/Ponte Preta/Arquivo https://t.co/TMzscT8vNo,https://x.com/Paulistao/status/2091632174445326510,2280,7,25,1,0,0,0,2,2,3,0,0,0
2091631634567077907,"Sun, Aug 23, 2026",O Bernô ficou no empate contra o Náutico. #PaulistasEmCampo 📷Janes Carvalho/Divulgação/São bernardo https://t.co/qPcdgH8muB,https://x.com/Paulistao/status/2091631634567077907,1536,3,8,0,0,0,0,0,0,2,0,0,0
2091540974145032354,"Sun, Aug 23, 2026",PEIXÃO E LEÃO SE ENFRENTAM NA VILA! Quem vai levar a melhor no duelo entre Santos e Mirassol no @brasileirao? #PaulistasEmCampo https://t.co/k4STrOTa2i,https://x.com/Paulistao/status/2091540974145032354,1130,8,10,0,0,0,0,0,0,0,0,0,0
2091510770638946796,"Sun, Aug 23, 2026",DOMINGÃO LO-TA-DO DE FUTEBOL PAULISTA! 🔥 Vem conferir os confrontos das minhas equipes nas três divisões do @brasileirao! #PaulistasEmCampo https://t.co/Np5DHHIDGG,https://x.com/Paulistao/status/2091510770638946796,1105,11,20,0,0,0,0,3,0,0,0,0,0
2091288958210539844,"Sat, Aug 22, 2026",Sábado sem vitórias para o futebol paulista. #PaulistasEmCampo https://t.co/XNwzQjqBsE,https://x.com/Paulistao/status/2091288958210539844,1285,9,15,1,0,0,0,1,0,0,0,1,0
2091288392675815527,"Sat, Aug 22, 2026",Ituano sofre gol no finzinho da partida e não consegue pontuar em casa. #PaulistasEmCampo 📷Flavio Torres/Ituano https://t.co/1DgWTC8jms,https://x.com/Paulistao/status/2091288392675815527,999,1,4,1,0,0,0,0,1,0,0,0,0
2091287865544102343,"Sat, Aug 22, 2026",Guarani leva a virada na Paraíba e é superado pelo Botafogo. #PaulistasEmCampo 📷João Neto/Botafogo-PB https://t.co/Mqh4Aob1X3,https://x.com/Paulistao/status/2091287865544102343,1379,7,11,0,0,0,0,1,0,0,0,0,0
2091277534310621478,"Sat, Aug 22, 2026",PONTO FINAL! Assim ficou a classificação final da primeira fase da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/3hFcgZbDFQ,https://x.com/Paulistao/status/2091277534310621478,3005,27,232,1,0,0,3,3,6,3,0,7,0
