Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2083950975966908494,"Sun, Aug 2, 2026",GOLEADA ALVINEGRA! Santos goleia do Juventude e garante mais três pontos na conta do Brasileirão Feminino! #ElasEmCampo 📷Reinaldo Campos/Santos https://t.co/ROXO4TgVgE,https://x.com/PaulistaoFem/status/2083950975966908494,660,11,15,0,0,0,0,1,2,0,0,0,0
2083950128780460157,"Sun, Aug 2, 2026",DEVER DE CASA! Palmeiras leva a melhor pra cima do Internacional e volta a vencer no Brasileirão Feminino! #ElasEmCampo 📷Paloma Cassiano/Palmeiras https://t.co/4n4JadPCRo,https://x.com/PaulistaoFem/status/2083950128780460157,521,10,14,0,0,0,2,1,0,0,0,0,0
2083900627583725777,"Sun, Aug 2, 2026","DIA CHEIO! 🥰 Hoje tem @brfeminino A1 e A2 e para as minhas equipes, só a vitória interessa! #ElasEmCampo https://t.co/mclMHLYqAX",https://x.com/PaulistaoFem/status/2083900627583725777,612,12,18,0,1,0,0,1,3,1,0,0,0
2083740875864047983,"Sun, Aug 2, 2026","Com destaque para a vitória do São Paulo fora de casa, este foi o sábado com #ElasEmCampo. #FutebolPaulista https://t.co/9zM6cIGRfp",https://x.com/PaulistaoFem/status/2083740875864047983,449,7,11,1,0,0,0,0,0,2,0,0,0
2083740764907921609,"Sun, Aug 2, 2026",TRICOLOR NO TOPO! São Paulo vence em Salvador e assume a liderança do Brasileirão Feminino de forma provisória. #ElasEmCampo 📷Divulgação/São Paulo https://t.co/vqmKJ1Q8EA,https://x.com/PaulistaoFem/status/2083740764907921609,877,14,19,0,0,0,0,1,1,1,0,0,0
2083652463316320626,"Sat, Aug 1, 2026",Mais uma rodada pra conta do Paulista F Sub-15 Petrobras! #PaulistaFSub15Petrobras https://t.co/9HWm8B3w5N,https://x.com/PaulistaoFem/status/2083652463316320626,569,7,15,0,0,0,0,2,0,0,0,0,0
2083649089086890258,"Sat, Aug 1, 2026",O Realidade Jovem foi superado no primeiro jogo das quartas de final do Brasileiro Feminino A3. #ElasEmCampo 📷Luana Perdoncini/Coritiba https://t.co/hAzXjEg0cC,https://x.com/PaulistaoFem/status/2083649089086890258,467,7,11,0,2,0,0,1,0,0,0,0,0
2083649043100516510,"Sat, Aug 1, 2026","Fora de casa, o Red Bull Bragantino sofreu o revés diante do Fluminense. #ElasEmCampo 📷Marina Garcia/Fluminense https://t.co/ri3vkFu9KG",https://x.com/PaulistaoFem/status/2083649043100516510,421,8,11,0,0,0,0,0,0,0,0,0,0
2083538243946000441,"Sat, Aug 1, 2026",MAIS TRÊS! As minhas equipes jogam fora de casa pelo Brasileirão A1 e pelo Brasileirão A3. #ElasEmCampo https://t.co/7NRNvXBDXK,https://x.com/PaulistaoFem/status/2083538243946000441,445,8,11,0,0,0,0,2,0,0,0,0,0
2083508036287549645,"Sat, Aug 1, 2026",SÁBADO MOVIMENTADO! Tem mais uma rodada do Paulista F Sub-15 @petrobras chegando 🤩 #PaulistaFSub15Petrobras https://t.co/QtPbU6BBcT,https://x.com/PaulistaoFem/status/2083508036287549645,461,7,12,0,0,0,0,0,2,0,0,0,0
