"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo"
1034074102671932,100082080567569,"Paulistão F","PERÍODO DA TARDE!
Vamos para mais alguns registros do Festival Paulista Sub-14 Petrobras!
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 11:54",N/A,https://www.facebook.com/paulistaof/posts/pfbid0ZFqXnKhM3j7ZyBQsb8rbD52y9qSHMoxuUEeA9QSfi1zWM297N38oxra9frPvXhm2l,0,0,Fotos,,,,,Total,1154,846,16,12,0,4,19,17,2,,,,,
1034069212672421,100082080567569,"Paulistão F","SE TEM GOL, TEM 🫶!
#FestivalPaulistaSub14Petrobras
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 11:47",N/A,https://www.facebook.com/paulistaof/posts/pfbid0EsHsK4xLbJN8g5CWmQutVK7kzjrUtNsE1GQMEt1NLD22nwBoFHvbynnmFTX5KoNHl,0,0,Fotos,,,,,Total,968,727,12,7,0,5,7,5,2,,,,,
1034055622673780,100082080567569,"Paulistão F","VAI, DEBOCHA 💁‍♀️
Por aqui tem muita bola rolando e MUITA dancinha! 😂💃 #FestivalPaulistaSub14","VAI, DEBOCHA 💁‍♀️
Por aqui tem muita bola rolando e MUITA dancinha! 😂💃 #FestivalPaulistaSub14",8,"08/22/2026 11:27",N/A,https://www.facebook.com/reel/975493162231945/,1,0,Vídeos,,,,,Total,930,795,6,6,0,0,4,,4,2831.919,3.616,0,0,0
1034014416011234,100082080567569,"Paulistão F","TEM MINI CRAQUE POR AQUI! 🤏🥰
A Maria Vitória, do Mirassol FC Feminino, já balançou as redes duas vezes hoje no #FestivalPaulistaSub14! 💛","TEM MINI CRAQUE POR AQUI! 🤏🥰
A Maria Vitória, do Mirassol FC Feminino, já balançou as redes duas vezes hoje no #FestivalPaulistaSub14! 💛",12,"08/22/2026 10:27",N/A,https://www.facebook.com/reel/2506898003129548/,1,0,Vídeos,,,,,Total,1661,1490,30,30,0,0,25,,25,6701.375,4.65,0,0,0
1033959022683440,100082080567569,"Paulistão F","🚲🚲🚲
#FestivalPaulistaSub14Petrobras
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 09:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid024XBUmRRhcKLei131nsx9SrRUvsEdmr3PJS4wGNq4YzvPMqBUtmbwyUGvJV5HQ7oQl,0,0,Fotos,,,,,Total,1285,936,5,5,0,0,10,5,5,,,,,
1033938126018863,100082080567569,"Paulistão F","🏃‍♀️💨
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 08:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid02fkB6tjFeckMssrsS8M1YGWaXFBM7LTbSpGm7pRrjVTy6iQy9XsKAPJ7xF6kbvuqel,0,0,Fotos,,,,,Total,943,704,6,6,0,0,10,4,6,,,,,
1033918219354187,100082080567569,"Paulistão F","😘❤️
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 08:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid036STxNibtBhDWeVMJKFnoK1xu6jtgJkMxwf4Xwg8McL71zzbJWezXjYAytioa3mcnl,0,0,Fotos,,,,,Total,2511,1868,13,13,0,0,34,24,10,,,,,
1033900426022633,100082080567569,"Paulistão F","NAQUELE PIQUE!
O sabadão do jeito que a gente gosta. Se liga nos primeiros registros do dia.
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 07:34",N/A,https://www.facebook.com/paulistaof/posts/pfbid02KRgu3jueadE5dZDnL7V4qTKvhCLqS8SWaHQVbwutPWtkJirMx5Heqb9H8ZYmLsk1l,0,0,Fotos,,,,,Total,898,702,21,6,0,15,10,8,2,,,,,
1033837716028904,100082080567569,"Paulistão F","SABADÃO CHEIO!
São sete confrontos das minhas equipes no @brfeminino A1 e A2!
#ElasEmCampo",,0,"08/22/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid026idUVwCh1kdNzFMY1YFRNbxrmjBZRmTx8r2qU33eV11Z8LgSb4hv3dJW6ebMzxdzl,0,0,Fotos,,,,,Total,12283,8320,157,145,3,9,308,215,93,,,,,
1033823456030330,100082080567569,"Paulistão F","ALÔ, JAÚ!
O Festival Paulista Sub-14 Petrobras tá na área para mais uma edição!
#FestivalPaulistaSub14Petrobras
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 05:40",N/A,https://www.facebook.com/paulistaof/posts/pfbid02XMKJMEeMwtHD1GmLc1Q8kNPfAvtzWo91ugg3fRN5eG93nggfGA2FhUJv1BRfVb8bl,0,0,Fotos,,,,,Total,891,702,14,8,0,6,6,6,,,,,,
