"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,"Visualizações de Posts orgânicos","Visualizações de Posts turbinados",Alcance,"Alcance de Posts orgânicos","Alcance de Posts turbinados","Visualizações de 3 segundos do vídeo","Visualizações do vídeo de 1 minuto","Visualizadores de 3 segundos","Visualizadores de 1 minuto","Visualizações do vídeo de 3 segundos de Posts turbinados","Visualizações do vídeo de 3 segundos de Posts orgânicos","Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Segundos de visualização","Média de Segundos de visualização"
798738466205498,100082080567569,"Paulistão F","GOLEADA DA FERRINHA! 🔥
As Guerreiras Grenás venceram o Realidade Jovem por 7 a 0 pela 11ª rodada do #PaulistãoFemininoSicredi!
📷 Douglas Moreti/Ag. Paulistão",,0,"10/29/2025 13:57",N/A,https://www.facebook.com/paulistaof/posts/pfbid02T5czd4Jzoyx7cPWuN3ptoveqiNTqprxsETozeY9zo2hBG4ksJTKhwnEoCPQ1axoZl,0,0,Fotos,,,,,Total,22678,22678,0,16146,16146,0,0,0,0,0,0,0,90,84,6,0,,
798705896208755,100082080567569,"Paulistão F","INTERVALO!
Por enquanto, a Ferroviária vai vencendo por 2 a 0! #PaulistãoFemininoSicredi 
📷 Douglas Moreti/Ag. Paulistão",,0,"10/29/2025 12:49",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Xe8PmvH9KdszZroywh3PuHxHjwLqejmcHGNWexDTncEa7qU9aXZAebXE46YU4Qo1l,0,0,Fotos,,,,,Total,4743,4743,0,3510,3510,0,0,0,0,0,0,0,31,30,0,1,,
798703712875640,100082080567569,"Paulistão F","É REDE!
Mais um das Guerreiras Grenás! Agora foi a vez de Mylena Carioca balançar as redes em Araraquara.
#PaulistãoFemininoSicredi","É REDE!
Mais um das Guerreiras Grenás! Agora foi a vez de Mylena Carioca balançar as redes em Araraquara.
#PaulistãoFemininoSicredi",16,"10/29/2025 12:44",N/A,https://www.facebook.com/reel/1818686122082916/,0,0,Vídeos,,,,,Total,20679,20640,0,15345,15345,0,10972,0,10854,0,0,10972,177,162,8,7,172536.129,11.525
798697356209609,100082080567569,"Paulistão F","GOL DAS GUERREIRAS!
Monique é o nome da emoção para a equipe de Araraquara!
#PaulistãoFemininoSicredi","GOL DAS GUERREIRAS!
Monique é o nome da emoção para a equipe de Araraquara!
#PaulistãoFemininoSicredi",24,"10/29/2025 12:29",N/A,https://www.facebook.com/reel/1546550519864081/,0,0,Vídeos,,,,,Total,2645,2636,0,2491,2491,0,1492,0,1426,0,0,1492,27,27,0,0,18949.688,8.077
798476246231720,100082080567569,"Paulistão F","PRIMEIRA PARTIDA!
Ferroviária e Realidade Jovem abrem a rodada do #PaulistãoFemininoSicredi! Você acompanha o confronto AO VIVO direto do YouTube do @paulistao.",,0,"10/29/2025 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0dzvzyYvDri9Q4MinRJMmjmc4DZmZhB6jCXAxk34wCWgA6nkGN6Qw5z9VtA5Q7tsDl,0,0,Fotos,,,,,Total,22513,22513,0,16202,16202,0,0,0,0,0,0,0,118,114,1,3,,
798408626238482,100082080567569,"Paulistão F","O TRI DAS SEREIAS! 3️⃣🏆
Há 14 anos, o Santos vencia o Centro Olímpico e conquistava seu terceiro título paulista!
#BaúDoPaulistãoFeminino",,0,"10/29/2025 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02mJfcDv2iLZ3ZF9TfmCtahGwQKUtpZiXJMNtYiChZ3SVj2En3F8ZLt8tXMugzbvU3l,0,0,Fotos,,,,,Total,140316,140316,0,95025,95025,0,0,0,0,0,0,0,1831,1724,64,43,,
797992699613408,100082080567569,"Paulistão F","VOLTAMOS 👀
Quem mais estava com saudades do Paulistão Feminino Sicredi? Bora conferir os jogos da 11ª rodada 🤩
#PaulistãoFemininoSicredi",,0,"10/28/2025 14:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0XzmcbSpiDNAggKfMfX7v6BzeuLRLKvQSssMtxEHEPVCB1zcMrMf3Vc8KigRgbCqGl,0,0,Fotos,,,,,Total,23687,23687,0,15808,15808,0,0,0,0,0,0,0,240,219,9,12,,
797939486285396,100082080567569,"Paulistão F","É O BRASA!
A @selecaofemininadefutebol garantiu mais uma vitória 😍
#ElasEmCampo
📷 Lívia Villas Boas/CBF",,0,"10/28/2025 12:15",N/A,https://www.facebook.com/paulistaof/posts/pfbid02L5U9yLTACkA54GBfTA1psgRCuGHzpgYDze8gWKgTpaXMpL1WxQvT6yr2AxPzdzLQl,0,0,Fotos,,,,,Total,56926,56926,0,40881,40881,0,0,0,0,0,0,0,1710,1561,96,53,,
797699686309376,100082080567569,"Paulistão F","VAI, BRASIL!
Nada como mais um jogo da @selecaofemininadefutebol para agitar a semana 🔥
#ElasEmCampo",,0,"10/28/2025 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid031KjdCn2p3nGULAMyKZjuZYZwJqAQFaN7GL65xK7ppXLHjrpoRAza7S2WangQL9ePl,0,0,Fotos,,,,,Total,45252,45252,0,31823,31823,0,0,0,0,0,0,0,750,686,42,22,,
797181796361165,100082080567569,"Paulistão F","VEM AÍ MAIS UM TORNEIO PAULISTA FEMININO PETROBRAS!
Sorocaba vai receber, nos dias 1 e 2 de novembro, o Torneio Paulista Feminino Sub-13 e Sub-15 Petrobras. Oito times serão divididos em dois grupos para a disputa dos confrontos!
#TorneioPaulistaFemininoPetrobras",,0,"10/27/2025 15:02",N/A,https://www.facebook.com/paulistaof/posts/pfbid02mYyMwEG67hWb6DK9FXrRG8Mq93xYYwd5LqejesmX3gFJn7UmTAAa2PfXexXbc4yFl,0,0,Fotos,,,,,Total,3526,3526,0,2424,2424,0,0,0,0,0,0,0,43,39,1,3,,
