"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Cliques no link","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1019918647420811,100082080567569,"Paulistão F","E ESSA PINTURA DA MIKA NO PAULISTA F SUB-20 PETROBRAS?
Que golaço da jogadora da Portuguesa que abriu o placar do jogo contra o Audax!
#PaulistaFSub20Petrobras","E ESSA PINTURA DA MIKA NO PAULISTA F SUB-20 PETROBRAS?
Que golaço da jogadora da Portuguesa que abriu o placar do jogo contra o Audax!
#PaulistaFSub20Petrobras",44,"08/05/2026 14:00",auto,https://www.facebook.com/reel/3572100939610470/,0,0,Vídeos,,,,,Total,4289,4243,60,55,4,1,65,65,,,35730.527,8.668,0,0,0
1019948437417832,100082080567569,"Paulistão F","DE COBERTURA!
A Sophia Salasar ajudou a cravar a vitória do Centro Olímpico contra o Referência no Paulista F Sub-15 @petrobras com esse lindo gol encobrindo a goleira!
#PaulistaFSub15Petrobras","DE COBERTURA!
A Sophia Salasar ajudou a cravar a vitória do Centro Olímpico contra o Referência no Paulista F Sub-15 @petrobras com esse lindo gol encobrindo a goleira!
#PaulistaFSub15Petrobras",44,"08/05/2026 15:00",auto,https://www.facebook.com/reel/1117595224285367/,0,0,Vídeos,,,,,Total,3894,3778,52,50,1,1,39,39,,,33467.435,9.059,0,0,0
1019977350748274,100082080567569,"Paulistão F","QUE CRUZAMENTO, QUE NADA!
A Ana Carolina mandou essa direto pro gol e marcou o segundo do Flamengo de Guarulhos contra o São Bento no #PaulistaFSub15Petrobras!","QUE CRUZAMENTO, QUE NADA!
A Ana Carolina mandou essa direto pro gol e marcou o segundo do Flamengo de Guarulhos contra o São Bento no #PaulistaFSub15Petrobras!",42,"08/05/2026 16:00",auto,https://www.facebook.com/reel/1386577626714927/,0,0,Vídeos,,,,,Total,2381,2124,32,32,0,0,24,24,,,18070.709,8.165,0,0,0
1020517137360962,100082080567569,"Paulistão F","NOVIDADE NAS PALESTRINAS!
O Palmeiras anunciou a contratação da Antonia, zagueira da Seleção Brasileira e que estava no Real Madrid. Bem-vinda ao #FutebolPaulista 💚
#ElasEmCampo 
📷 Reprodução/@palmeirasfeminino",,0,"08/06/2026 07:18",N/A,https://www.facebook.com/paulistaof/posts/pfbid02L16R8hffURxPWzhafd8Gx5kuJFgaG3ecu65Joa8M3bkS2WGm2YXLid5hwSsU4w79l,0,0,Fotos,,,,,Total,35568,23292,2053,1937,82,34,783,467,316,,,,,,
1020613597351316,100082080567569,"Paulistão F","ANOTA AÍ!
Tudo pronto para a última rodada do Paulistão F Petrobras. Confira datas e horários!
#PaulistãoFPetrobras",,0,"08/06/2026 09:33",N/A,https://www.facebook.com/paulistaof/posts/pfbid02gEzcLQxEMr9E3pwib4AkrjbSv5CTUaxLh853v3XXZfNtoqZp455QJFQwVAZMakGyl,0,0,Fotos,,,,,Total,35719,23730,279,260,6,13,1163,547,616,,,,,,
1021409747271701,100082080567569,"Paulistão F","A 6ª rodada do Paulistão F @petrobras no estilo Minecraft! 🎮🌟
#PaulistãoFPetrobras #Minecraft #trend",,0,"08/07/2026 08:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02x8BUHv9DA7DNvrAy9jCYpTFkTYsLXhtsEDp2qrEYywushW5mTdYK1k89BwuZXfVMl,0,0,Fotos,,,,,Total,2030,1422,29,29,0,0,52,14,38,,,,,,
1022235207189155,100082080567569,"Paulistão F","SABADÃO DE FUTEBOL!
Se liga quais partidas movimentam o sábado deo futebol paulista!
#ElasEmCampo",,0,"08/08/2026 08:22",N/A,https://www.facebook.com/paulistaof/posts/pfbid02x2HRcyPP2VtL6fWMtXKr1UHLhw5fKRRmJ23iNV9B6Z5xVAgMEcAjpNKFGgm78Pb1l,0,0,Fotos,,,,,Total,6676,4655,62,56,3,3,112,38,74,,,,,,
1022406553838687,100082080567569,"Paulistão F","ACESSO GARANTIDO!
O Realidade Jovem vai jogar o Brasileirão Feminino A2 em 2027!
#ElasEmCampo",,0,"08/08/2026 13:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0bxKjAAKZtn8Sys1TmoQ1NT52wWU2NLr26CX4QMYUfGK6RuXU56WT63vJRjEgckWml,0,0,Fotos,,,,,Total,4533,3307,64,42,4,18,114,80,34,,,,,,
1022412020504807,100082080567569,"Paulistão F","DE VOLTA!
Com direito a gol no apagar das luzes, Realidade Jovem reverte a desvantagem e vence o Coritiba para garantir o acesso ao Brasileirão Feminino A2!
#ElasEmCampo
📷Fabrício Almeida/Realidade Jovem",,0,"08/08/2026 13:11",N/A,https://www.facebook.com/paulistaof/posts/pfbid0qCqPxLPcqFAB259UsAByqSUvFv2qYP6BmJK7Nnx5nZS9oVZHoyTPAdcBPFrXP7Njl,0,0,Fotos,,,,,Total,9358,6962,42,37,0,5,82,29,53,,,,,,
1022421257170550,100082080567569,"Paulistão F","CLASSIFICADAS!
Taubaté é superado pelo Itabirito, mas consegue a classificação para o mata-mata do Brasileirão Feminino A2!
#ElasEmCampo
📷Junior Santos/AD Taubaté",,0,"08/08/2026 13:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid09BuFA189HEUrBZLjz9UWLeoybX3KmWRgVstSedyf59DbwGgJavVXGa3yVadqAgRBl,0,0,Fotos,,,,,Total,5423,4112,30,28,2,0,45,19,26,,,,,,
1022428800503129,100082080567569,"Paulistão F","EM GRANDE ESTILO!
A partida se encaminhava para as panalidades, mas a Emilly resolveu fazer isso daí! Com o golaço, o Realidade Jovem conquistou o acesso para o Brasileirão Feminino A2 de 2027!
#ElasEmCampo 
🎥CBF TV","EM GRANDE ESTILO!
A partida se encaminhava para as panalidades, mas a Emilly resolveu fazer isso daí! Com o golaço, o Realidade Jovem conquistou o acesso para o Brasileirão Feminino A2 de 2027!
#ElasEmCampo 
🎥CBF TV",70,"08/08/2026 13:46",auto,https://www.facebook.com/reel/1580275377134846/,1,0,Vídeos,,,,,Total,3586,3471,41,41,0,0,66,66,,,31879.706,9.24,0,0,0
1022436650502344,100082080567569,"Paulistão F","PLACAR EM BRANCO!
A rede não balançou na Arena da Fonte Luminosa.
#ElasEmCampo
📷Paloma Cassiano/Palmeiras",,0,"08/08/2026 14:03",N/A,https://www.facebook.com/paulistaof/posts/pfbid0iuJrGmeqjg36puS7NpvAhnB7nEskQrVRZvotD3u4PAc14oYCo6qRiT5WCGkYhHB4l,0,0,Fotos,,,,,Total,19612,13908,253,227,17,9,427,252,175,,,,,,
1023005293778813,100082080567569,"Paulistão F","EM DOSE DUPLA! 
Domingo de duelos paulistas no Brasileirão Feminino! 
#ElasEmCampo",,0,"08/09/2026 07:14",N/A,https://www.facebook.com/paulistaof/posts/pfbid0XmfAZqJM4BcmXfiUGtyd2afmjzAKxJYg4JSURYP272XxKbvpbD7Ld9mEL776tErvl,0,0,Fotos,,,,,Total,12248,8677,137,122,9,6,277,94,183,,,,,,
1023258540420155,100082080567569,"Paulistão F","GOLEADA DAS BRABAS!
O Corinthians fica com a vitória no Clássico Alvinegro!
#ElasEmCampo
📷Rodrigo Gazzanel/Corinthians",,0,"08/09/2026 14:12",N/A,https://www.facebook.com/paulistaof/posts/pfbid024FYyQcx1W61NcFcmH2ddae4Ekry9gc69oirpMxr7YymDGn15wVPwFgbtxrrpi35Ql,0,0,Fotos,,,,,Total,16690,11838,799,722,42,35,260,166,94,,,,,,
1023311263748216,100082080567569,"Paulistão F","VITÓRIA TRICOLOR!
São Paulo leva a melhor no duelo paulista e garante os três pontos pra cima do Red Bull Bragantino.
#ElasEmCampo
📷Carla Cenci/Red Bull Bragantino",,0,"08/09/2026 16:07",N/A,https://www.facebook.com/paulistaof/posts/pfbid0JnYbK11RBUgmFxvMcfLhWuSdwo4DuRBnzbHUMga3Y1JpDbB4oAmu7jvgaL3KMpsWl,0,0,Fotos,,,,,Total,12552,8913,362,342,11,9,150,74,76,,,,,,
1023944983684844,100082080567569,"Paulistão F","Vem conferir os resultados da 9ª rodada do Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras",,0,"08/10/2026 10:45",N/A,https://www.facebook.com/paulistaof/posts/pfbid0ZLrDD4WAFCRNbzYWGFgeTT334yRfTbGjJCaDmQbG84FqkdR4W3btYeHwgqDjKofTl,0,0,Fotos,,,,,Total,11973,8101,94,89,1,4,190,98,92,,,,,,
1024039023675440,100082080567569,"Paulistão F","FIM DE MAIS UMA RODADA!
Assim ficou a tabela do Paulista F Sub-20 Petrobras ao final da 9ª rodada!
#PaulistaFSub20Petrobras",,0,"08/10/2026 13:14",N/A,https://www.facebook.com/paulistaof/posts/pfbid0TvS67ad1U8EsjG9FRahGEDS2sEMnzpiNxMPJpnVS5fHUAVttwBbwnZEmLu7Hpd86l,0,0,Fotos,,,,,Total,14193,9058,98,97,0,1,233,126,107,,,,,,
1024078013671541,100082080567569,"Paulistão F","6ª RODADA NA ÁREA!
Com a primeira fase chegando ao fim, vem conferir quais são os confrontos dessa semana do Paulistão F Petrobras!
#PaulistãoFPetrobras",,0,"08/10/2026 14:29",N/A,https://www.facebook.com/paulistaof/posts/pfbid02UY9JpdX9cYkkVEMDdynjvzVYWGnM2m2XjtA4SncYmCkHFuF13QJsCRU9pQmUFjM9l,0,0,Fotos,,,,,Total,27733,18784,222,212,0,10,664,232,432,,,,,,
1024575243621818,100082080567569,"Paulistão F","PARA INAUGURAR A RODADA! 🔥
Taubaté e Palmeiras se enfrentam no primeiro confronto da 6ª rodada do Paulistão F Petrobras! Quem vai levar a melhor?
#PaulistãoFPetrobras",,0,"08/11/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02BB7myq7K7tUwuwHsc41wR3xHC24b7t6aLT5nW52RkU4WB3PezkReTNcgimiq631Tl,0,0,Fotos,,,,,Total,16443,11254,259,245,12,2,443,240,203,,,,,,
1024802176932458,100082080567569,"Paulistão F","CARREGOU O CAMPO TODO E MANDOU PRO FUNDO DA REDE! 🔥
Dulce, do Corinthians, fez essa jogada que resultou em um dos gols da vitória das Brabinhas para cima do Santos no Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras","CARREGOU O CAMPO TODO E MANDOU PRO FUNDO DA REDE! 🔥
Dulce, do Corinthians, fez essa jogada que resultou em um dos gols da vitória das Brabinhas para cima do Santos no Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras",57,"08/11/2026 11:54",auto,https://www.facebook.com/reel/1568005611898956/,0,0,Vídeos,,,,,Total,17952,18033,844,798,26,20,420,420,,,278094.254,16.134,0,0,0
1024843983594944,100082080567569,"Paulistão F","QUE FRIEZA! 🥶
A Nicoly teve muita tranquilidade para tirar da goleira e deixar o dela na goleada do Palmeiras para cima do Lemense no Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras","QUE FRIEZA! 🥶
A Nicoly teve muita tranquilidade para tirar da goleira e deixar o dela na goleada do Palmeiras para cima do Lemense no Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras",45,"08/11/2026 13:00",auto,https://www.facebook.com/reel/1058600573247342/,0,0,Vídeos,,,,,Total,62081,61825,2524,2439,48,37,1291,1291,,,828740.872,14.229,0,0,0
1024868726925803,100082080567569,"Paulistão F","PALCO DE HOJE!
Taubaté e Palmeiras vão a campo daqui a pouco. Para quem vai a sua torcida hoje?
#PaulistãoFPetrobras 
📷 Anderson Romão/Ag. Paulistão",,0,"08/11/2026 13:38",N/A,https://www.facebook.com/paulistaof/posts/pfbid02fMmsoMyvxNN6iqqrgTjxr1ubMfSAKD4AM87Eeu5wGRueAbqDpGTVTww76Nt3AfRKl,0,0,Fotos,,,,,Total,1270,910,20,17,2,1,20,7,13,,,,,,
1024919666920709,100082080567569,"Paulistão F","SEM GOLS POR AQUI!
Não teve bola na rede até agora no Paulistão F @petrobras. Vem gol no segundo tempo, torcedor?
#PaulistãoFPetrobras 
📷 Anderson Romão/Ag. Paulistão",,0,"08/11/2026 14:50",N/A,https://www.facebook.com/paulistaof/posts/pfbid0GfFKZRYxtcWzgFsNw9N9qEAfH5GGwRAxrQ5bTgBK8a5aMPzo8W9xrUcr17pe9oPAl,0,0,Fotos,,,,,Total,4696,3365,31,31,0,0,59,28,31,,,,,,
1024941690251840,100082080567569,"Paulistão F","QUE GOLAÇO!
A Taina José Lopes saiu da marcação e colocou onde quis para abrir o placar. 
#PaulistãoFPetrobras","QUE GOLAÇO!
A Taina José Lopes saiu da marcação e colocou onde quis para abrir o placar. 
#PaulistãoFPetrobras",28,"08/11/2026 15:26",N/A,https://www.facebook.com/reel/1930189864318784/,1,0,Vídeos,,,,,Total,16771,15610,708,688,12,8,235,235,,,132767.52,8.882,0,0,0
1024955506917125,100082080567569,"Paulistão F","DE VIRAR A CABEÇA! 
As Palestrinas venceram fora de casa e chegam à liderança do Paulistão F Petrobras. 
#PaulistãoFPetrobras 
📷 Anderson Romão/Ag. Paulistão",,0,"08/11/2026 15:59",N/A,https://www.facebook.com/paulistaof/posts/pfbid02YaqT2voiqmdW4C3UJ15gxiYfJeCjUW6BXj5kz6RYtvAmo9GLcfchpYwXbhHvdkRTl,0,0,Fotos,,,,,Total,17575,11617,746,699,19,28,466,120,346,,,,,,
1024964830249526,100082080567569,"Paulistão F","MANDOU NO JOGO!
A @tainajose08 marcou o gol da vitória e levou o troféu de Craque do Jogo @petrobras.
#PaulistãoFPetrobras 
📷 Anderson Romão/Ag. Paulistão",,0,"08/11/2026 16:19",N/A,https://www.facebook.com/paulistaof/posts/pfbid02WjoyKYogszJfByRFgM8e6YFNiPf1g3VUVum2pzoJYGmJW6e8E4Fa3PkuUh43bEv3l,0,0,Fotos,,,,,Total,4436,3216,217,198,14,5,78,58,20,,,,,,
1024969820249027,100082080567569,"Paulistão F","NOVIDADE POR AQUI!
O primeiro jogo da rodada terminou e as Palestrinas assumiram a liderança no Paulistão F @petrobras.
#Classificação #PaulistãoFPetrobras",,0,"08/11/2026 16:29",N/A,https://www.facebook.com/paulistaof/posts/pfbid02VwWH1coFFQStL6MLMgwjt12Xc6UNJ7i8tPZr5Mr8eMQy54jQPJ6msEH88zhFGx23l,0,0,Fotos,,,,,Total,17508,10972,178,164,7,7,371,227,144,,,,,,
