"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo","Feedbacks negativos dos usuários: Ocultar","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Negative feedback from users: Ocultar tudo","Negative feedback from users: Ocultar"
1313871037573200,100068509496158,Copinha,"Oitava rodada do Paulista Sub-12 concluida com sucesso!
#PaulistaSub12",,0,"06/28/2026 14:34",N/A,https://www.facebook.com/copinha/posts/pfbid02ZsJo6jphgNETywm5T2d7XCqC2GLgj5JU7BHRYZy2eJTvG9kXoHPwgYVVSUsHCP8ml,0,0,Fotos,,,,,Total,1695,1013,15,10,2,3,108,16,92,,,,,,,,,,
1313868590906778,100068509496158,Copinha,"Mais uma rodada completa no Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"06/28/2026 14:29",N/A,https://www.facebook.com/copinha/posts/pfbid0Vj3eQ6JghW28ewCzx9BXaqT5JhCEq8rQNrmGyMHXEpCeM6GvH2EXqnHZC8CfQKbZl,0,0,Fotos,,,,,Total,1536,975,25,21,2,2,91,7,84,,,,,,,,,,
1313461784280792,100068509496158,Copinha,"RODADAS CHEIAS NESSE DOMINGO!
Vem conferir os confrontos da 8ª rodada do #PaulistaSub13 e do #PaulistaSub14!",,0,"06/28/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid02EZ2iHmkaTmBtuTubWjSJDFJZXAtRtjDN2S6VLTFKj89R5cZknqRw16hg7UXRfi8Ml,0,0,Fotos,,,,,Total,2585,1655,27,20,1,6,129,33,96,,,,,,,,,,
1313069084320062,100068509496158,Copinha,"Se liga nos resultados da nona rodada do Paulista Sub-15! 
#PaulistaSub15",,0,"06/27/2026 16:07",N/A,https://www.facebook.com/copinha/posts/pfbid02AVuEYfSuXP8dS8DG44VbDwEaGpRakrG7th1LCKEzWhC4weaidSZiUUMw3tEyo3kBl,0,0,Fotos,,,,,Total,2472,1466,20,16,1,3,187,29,158,,,,,,,,,,
1313054107654893,100068509496158,Copinha,"Ponto final da quarta rodada do Paulista Sub-20 Série B!
#PaulistaSub20SérieB",,0,"06/27/2026 15:33",N/A,https://www.facebook.com/copinha/posts/pfbid0Ej5YQsj79T3RwvGDugDNipym821adhm3HCd9AxQL8mGEonSdoB8Nmo9MNqdB6HRbl,0,0,Fotos,,,,,Total,12902,9106,49,45,2,2,253,100,153,,,,,,,,,,
1313053694321601,100068509496158,Copinha,"Mais uma rodada cheia de grandes jogos no Paulista Sub-17.
#PaulistaSub17",,0,"06/27/2026 15:32",N/A,https://www.facebook.com/copinha/posts/pfbid0mEifwfp4c9FDbR762TMYKvSykZkSeGzAwjq5W34RPoorrrdzCGa19NGWNs24V88Sl,0,0,Fotos,,,,,Total,1905,1140,20,17,2,1,162,22,140,,,,,,,,,,
1312629764363994,100068509496158,Copinha,"MAIS UMA RODADA NA ÁREA!
Vem vem os confrontos do #PaulistaSub11 e #PaulistaSub12!",,0,"06/27/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid026tSGKwsAuiDzZjvXrzKpviQPTE4zfNhiFkxGLsNMv4Nv5SgrpvmSJL9w2JGGzYcdl,0,0,Fotos,,,,,Total,3603,2369,41,34,2,5,136,21,115,,,,,,,,,,
1312559201037717,100068509496158,Copinha,"O final de semana vem com tudo com Paulista Sub-15 e Sub-17!
#PaulistaSub15 #PaulistaSub17",,0,"06/27/2026 02:00",N/A,https://www.facebook.com/copinha/posts/pfbid09yDN1hdJF8bTB5paBr1qWXPYxhZsMGHgz8MrJSDejTCZfKfMvDp39uvAPjJCHmoil,0,0,Fotos,,,,,Total,3399,2276,29,21,2,6,133,20,113,,,,,,,,,,
1308055334821437,100068509496158,Copinha,"Terceira rodada concluída no Paulista Sub-20 Série B!
#PaulistaSub20SérieB",,0,"06/21/2026 14:42",N/A,https://www.facebook.com/copinha/posts/pfbid0JFr7jeDRzt9aHwM8bbc1avZj98D1zvVzX1Qf67Hkb2bTWRwYuZfGgpZdfEfXbY9fl,0,0,Fotos,,,,,Total,24838,17967,67,65,1,1,332,119,213,,,,,,,,,,
1308052041488433,100068509496158,Copinha,"Fim de semana agitado com mais uma rodada do Paulista Sub-17.
#PaulistaSub17",,0,"06/21/2026 14:37",N/A,https://www.facebook.com/copinha/posts/pfbid035HbcmRiPuSonhL2jRiPzH2bvzwo8z7k3YW2cKKaxAz11UjJ8QdiY3C7S7iQ6Xo5l,0,0,Fotos,,,,,Total,2481,1428,17,16,1,0,205,30,175,,,,,,,,,,
