"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1380506210909682,100068509496158,Copinha,"Ponto final na 18ª rodada do Paulista Sub-17!
#PaulistaSub17",,0,"09/16/2026 14:22",N/A,https://www.facebook.com/copinha/posts/pfbid02g4CgtQJGuqt5GKFymmRbdGhBKdviZRdaDUgsdGoZ7v7yvPoz5xe3MaV4zTjviTB3l,0,0,Fotos,,,,,Total,1796,1071,26,22,1,3,112,101,11,,,,,,
1380501914243445,100068509496158,Copinha,"SEGUNDA FASE DEFINIDA!
Vem conferir os confrontos da próxima fase do Paulista Sub-20 Série A!
#PaulistaSubSerieA",,0,"09/16/2026 14:15",N/A,https://www.facebook.com/copinha/posts/pfbid0D1Hpz6g9PHuW39VHV58DqYjnywSK27XdGtUHdwy5mkivEPySEZvvMJgiQwAq2jCol,0,0,Fotos,,,,,Total,3029,2207,32,26,2,4,62,38,24,,,,,,
1380499997576970,100068509496158,Copinha,"Confira os resultados da 15ª rodada do Paulista Sub-20!
#PaulistaSub20",,0,"09/16/2026 14:11",N/A,https://www.facebook.com/copinha/posts/pfbid021pN4KrnFRQM6R3tjGoCMfJJGKdLawpCdeqweLnjod62gpRR4puMZMsTCVXcDhCdul,0,0,Fotos,,,,,Total,9295,6760,44,38,2,4,141,78,63,,,,,,
1378841894409447,100068509496158,Copinha,"PARA FICAR DE OLHO...
Vem conferir os jogos de ida da segunda fase do #PaulistaSub14 👀",,0,"09/14/2026 14:55",N/A,https://www.facebook.com/copinha/posts/pfbid0vQbv6MneNmfdNzajwZecQ4Akyhuw1fZESqguUwt8i4JX3L2dRDJf1SNGQ2pp1CWyl,0,0,Fotos,,,,,Total,7933,5794,50,44,2,4,178,93,85,1,,,,,
1378832591077044,100068509496158,Copinha,"BORA PARA A SEGUNDA FASE!
Estes são os confrontos de ida da segunda fase do Paulista Sub-13.
#PaulistaSub13",,0,"09/14/2026 14:39",N/A,https://www.facebook.com/copinha/posts/pfbid02TJQumXix8sWyRS2dgHtiJGjbYr15p1Vm3Zky2QGZ5A58GVU4wipGs1Tr2KxiBn76l,0,0,Fotos,,,,,Total,7489,5472,39,32,3,4,139,78,61,,,,,,
1378039134489723,100068509496158,Copinha,"TINHA UMA TRAVE NO CAMINHO...
Que sequência do Ibrachina no Paulista Sub-20 Série A 👀😅
#PaulistaSub20SérieA
🎥 @ibrachinafc","TINHA UMA TRAVE NO CAMINHO...
Que sequência do Ibrachina no Paulista Sub-20 Série A 👀😅
#PaulistaSub20SérieA
🎥 @ibrachinafc",8,"09/13/2026 16:52",uploaded,https://www.facebook.com/reel/1728508275068866/,0,0,Vídeos,,,,,Total,11352,7163,30,25,5,0,70,,70,,46747.935,6.506,0,0,0
1377528891207414,100068509496158,Copinha,"DOMINGOU!
Esses são os confrontos da 14ª rodada do Paulista Sub-13 e do Paulista Sub-14!
#PaulistaSub13 #PaulistaSub14",,0,"09/13/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid0mYSZrCVhcUmLiJHKhTm4dF7Vq3zXWe5A4Lku7rUqhFdLVMiQTPx2V4tmDJzJgiy2l,0,0,Fotos,,,,,Total,2563,1659,31,22,2,7,120,98,22,,,,,,
1377101494583487,100068509496158,Copinha,"PRIMEIRA PARTE!
Assim terminaram os jogos de ida das quartas de final do Paulista Sub-20 Série B.
#PaulistaSub20SérieB",,0,"09/12/2026 13:15",N/A,https://www.facebook.com/copinha/posts/pfbid02jJNWtqM4LBLVNFxArMiN9NmSNayw2MdfSvXqUrg3RiZqLsDvicHfuQkvbXS8acZbl,0,0,Fotos,,,,,Total,5658,4265,31,25,3,3,55,24,31,,,,,,
1376777744615862,100068509496158,Copinha,"RODADA CHEIA NESSE SÁBADO!
Vem conferir os confrontos da 15ª rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"09/12/2026 05:00",N/A,https://www.facebook.com/copinha/posts/pfbid0JM1acs6zEwT3cscBqcRKMFfuJYksVEaBibEG7D6apzHNCQ1UcqiA3bpotESVs9Yil,0,0,Fotos,,,,,Total,6518,4782,53,42,2,9,135,83,52,,,,,,
1376741497952820,100068509496158,Copinha,"Vem conferir os confrontos da 18ª rodada do Paulista Sub-17!
#PaulistaSub17",,0,"09/12/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid0LYnbwDnQGsmZSyoiPguPTEUyc6A2niMj2vP7bvxGa4CBnzwgtVEkhd69jFTikEqdl,0,0,Fotos,,,,,Total,1434,959,24,18,1,5,46,39,7,,,,,,
1376707597956210,100068509496158,Copinha,"SÁBADO DE MUITO SUB-15!
A rodada 18 do Paulista Sub-15 vai rolar nesse sábado de manhã!
#PaulistaSub15",,0,"09/12/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid0fG7ip6hYa4xoxND5YCfghv79afJxHRskVourm7cx7iFLexyTUZM9KAk4wWcgcuFnl,0,0,Fotos,,,,,Total,1370,908,21,16,2,3,47,40,7,,,,,,
1375838344709802,100068509496158,Copinha,"VAI COMEÇAR MAIS UMA FASE!
Quem vai sair na frente nas quartas de final do Paulista Sub-20 Série B?
#PaulistaSub20SérieB",,0,"09/11/2026 02:00",N/A,https://www.facebook.com/copinha/posts/pfbid02Ym85LW6UF9yR6Z9Q7MHtBaPAVAzT7nLdnbEXT1wioFvqvFiWAcwq2FmiM5rh7hNFl,0,0,Fotos,,,,,Total,5791,4340,43,35,4,4,70,37,33,,,,,,
